Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
106	49	0	1.90220374	0	0	0	0	0	5e-006	100	0	0	0	3
107	49	0	1.92014906	0	0	0	0	0	5e-006	100	0	0	0	3
108	50	0	1.93809438	0	0	0	0	0	5e-006	100	0	0	0	3
109	50	0	1.95603969	0	0	0	0	0	5e-006	100	0	0	0	3
110	51	0	1.97398501	0	0	0	0	0	5e-006	100	0	0	0	3
111	51	0	1.99193033	0	0	0	0	0	5e-006	100	0	0	0	3
112	51	0	2.00987565	0	0	0	0	0	5e-006	100	0	0	0	3
113	52	0	2.02782097	0	0	0	0	0	5e-006	100	0	0	0	3
114	52	0	2.04576629	0	0	0	0	0	5e-006	100	0	0	0	3
115	53	0	2.0637116	0	0	0	0	0	5e-006	100	0	0	0	3
116	53	0	2.08165692	0	0	0	0	0	5e-006	100	0	0	0	3
117	54	0	2.09960224	0	0	0	0	0	5e-006	100	0	0	0	3
118	54	0	2.11754756	0	0	0	0	0	5e-006	100	0	0	0	3
119	54	0	2.13549288	0	0	0	0	0	5e-006	100	0	0	0	3
120	55	0	2.1534382	0	0	0	0	0	5e-006	100	0	0	0	3
121	55	0	2.17138351	0	0	0	0	0	5e-006	100	0	0	0	3
122	56	0	2.18932883	0	0	0	0	0	5e-006	100	0	0	0	3
123	56	0	2.20727415	0	0	0	0	0	5e-006	100	0	0	0	3
124	56	0	2.22521947	0	0	0	0	0	5e-006	100	0	0	0	3
125	57	0	2.24316479	0	0	0	0	0	5e-006	100	0	0	0	3
126	57	0	2.26111011	0	0	0	0	0	5e-006	100	0	0	0	3
127	58	0	2.27905542	0	0	0	0	0	5e-006	100	0	0	0	3
128	58	0	2.29700074	0	0	0	0	0	5e-006	100	0	0	0	3
129	59	0	2.31494606	0	0	0	0	0	5e-006	100	0	0	0	3
130	59	0	2.33289138	0	0	0	0	0	5e-006	100	0	0	0	3
131	59	0	2.3508367	0	0	0	0	0	5e-006	100	0	0	0	3
132	60	0	2.36878202	0	0	0	0	0	5e-006	100	0	0	0	3
133	60	0	2.38672733	0	0	0	0	0	5e-006	100	0	0	0	3
134	61	0	2.40467265	0	0	0	0	0	5e-006	100	0	0	0	3
135	61	0	2.42261797	0	0	0	0	0	5e-006	100	0	0	0	3
136	61	0	2.44056329	0	0	0	0	0	5e-006	100	0	0	0	3
137	62	0	2.45850861	0	0	0	0	0	5e-006	100	0	0	0	3
